Codice Utente;Ragione Sociale;Attivazione N.;Data Attivaz;Release;Numero C.A.L.;Descrizione prodotto;Ha personalizzazioni;ACQT;ADKF;ADPK;AUDT;BAII;BAPL;BARC;BICO;CASH;CFIN;CFUL;COAN;COMF;COMM;CONA;CONF;CONT;COPR;CRED;CSPT;DIST;EATT;EDU1;ELSR;FISC;IBCO;INPC;INSP;INTR;LIBR;LOTT;MAGA;MAIF;MAIL;MANM;MDOC;MDPS;MIGR;OPOR;ORCL;ORFO;OSLL;OSLS;PACK;PCKF;PRPA;PRZA;PRZB;PRZP;RAEE;SCHD;SCOM;SERD;SEVR;SFMG;SOSC;TRKF;TRPK;UBIC;VARI;VEDT;WMAA;WMAD;WMRF;XBRL;XGAT
8771;GOLEM ELETTRONICA SRL;11;26/09/2014;3.14.0.0276;1;Mago.Net PRO Powered by MSDE;No;;;X;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3076;GOLFO ARANCI SRL;8;15/12/2011;3.14.4.0335;1;Mago.Net PRO Powered by MSDE;No;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
21294;GROUPFARMA S.R.L.;2;07/12/2012;3.8.1.0138;1;Mago.Net PRO Powered by MSDE;Si;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;X;X;;;;X;;;;;;;;;;;;;;;;;;;;;
13807;GRUPPO P SRL;16;25/10/2017;3.14.4.0335;3;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;;;;X;;;;;D;;;;;;;;;;;;;;;D;D;;;X;;;;;;;;;;;X;;;;;;;;;;;
18048;GUIDA SRL;2;13/11/2008;2.10.4.20080909;1;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;X;;;;;;;;;;;;
19200;HB SHIPPING S.R.L.;4;25/01/2013;3.9.5.0025;1;Mago.Net PRO All Database;Si;;X;;;;;;;;;;D;;;;;;;;;;;;;;;;;;;;;;D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16565;I.T.S. SRL;5;25/02/2011;3.2.4.42;1;Mago.Net PRO Powered by MSDE;No;;;X;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3987;I2 SRL;11;01/12/2011;3.9.5.0025;2;Mago.Net PRO Powered by MSDE;No;;;X;;;;;;;;;X;;;;;;;;X;;;;;X;;;;;;;;;X;;;;X;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;
16189;IETRI & BRIBO' S.N.C.;17;16/04/2013;3.9.2.0086;2;Mago.Net PRO Powered by MSDE;Si;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;
6806;IL MONTE SRL;11;17/05/2018;3.14.4.0335;2;Mago.Net PRO Powered by MSDE;Si;;;X;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;D;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25096;INNOVAL SRL;3;22/06/2018;3.14.4.0335;4;Mago.Net PRO Powered by MSDE;Si;;X;;;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;
2092;ISHI SAS DI ANTICHI FLAVIO & C.;9;10/01/2012;2.13.5.20100324;2;Mago.Net PRO Powered by MSDE;No;;;X;;;;;;;;;;;;;;;;;;D;;;;;;;;;;;;;;;;;X;;D;D;;;;;;;;;;;;;;;;;;;;;;;;;
11859;ISTITUTO NAZIONALE DI FISICA NUCLEARE;3;31/01/2016;3.11.3.0029;1;Mago.Net STD Powered by MSDE;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;X;;;;;;;;;;;;;;;;;;;;;;
14760;ISTITUTO OTTICO ISOLANI;17;15/11/2017;3.14.4.0335;3;Mago.Net PRO Powered by SQL Server;Si;X;;;;;;;;;;;X;;;X;;;X;;X;;;;;X;;;;X;;X;;;;;X;X;;;X;X;;;X;;;;;;;;;;;X;;;;;;;;;;;X
5954;ITAL.PRO.RA.MAR. SRL;6;02/02/2009;2.12.0.20081230;1;Mago.Net PRO Powered by MSDE;No;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10347;ITALIA CHARTERING SRL;8;26/01/2011;3.2.3.38;1;Mago.Net PRO Powered by MSDE;No;;;X;;;;;;;;;;;;;;;;;D;;;;D;;;;;;;;;;;;D;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1547;IVALDI E GENERALE SRL;5;05/11/2008;2.10.4.20080909;4;Mago.Net PRO Powered by MSDE;No;;;X;;;;;;;;;X;;;;;;;;X;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9735;JOLLY PROFUMERIE S.N.C.;38;27/11/2017;3.14.4.0335;5;Mago.Net PRO Powered by SQL Server;Si;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;X;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;X
8541;KOINE' SRL;6;18/06/2014;3.14.0.0276;1;Mago.Net PRO Powered by MSDE;No;;;X;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9443;KPLAST SRL;32;27/11/2018;3.14.5.0520;5;Mago.Net PRO Powered by MSDE;Si;;;;;;;;;;;;;;;;;;;;;X;;;;X;;;;;;;;;X;;;;X;;;;X;;;;;;X;;;;;;;;;;X;;;;;;;;
22826;L.M.G MECCANICA S.R.L.;2;27/07/2017;3.14.0.0276;2;Mago.Net PRO Powered by MSDE;No;X;X;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;X;;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;
8448;LA FARMOCHIMICA S.R.L;16;08/11/2018;3.14.5.0520;3;Mago.Net PRO Powered by MSDE;Si;;;X;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;X;;;;D;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;
4369;LA FILIGRANA ITALIANA S.N.C.;7;24/04/2013;3.9.5.0025;3;Mago.Net PRO Powered by MSDE;No;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;
6790;LANFRANCO A. C. SAS;7;26/04/2012;3.14.4.0335;4;Mago.Net PRO Powered by MSDE;No;X;;X;;;;;;;;;;;;;;;;;;X;;;;X;;;;;;;;;;;X;;D;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;
19221;L'ANGOLINO SAS;11;05/10/2016;3.12.14.0176;2;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;
17240;LIGURZOO SRL;15;13/10/2017;3.14.0.0304;2;Mago.Net PRO Powered by MSDE;Si;X;;X;;;;;;;;;;;;;;;;;;;;;;D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16710;LS LEGATORIA SRL;1;02/07/2007;2.8.1.20070605;1;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;
5210;M.B. DI MERELLO NICOLETTA SAS;7;14/05/2018;3.14.4.0335;1;Mago.Net PRO Powered by MSDE;Si;;;X;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23095;M3D COSTRUZIONI SPECIALI S.R.L.;2;05/04/2017;3.14.0.0276;1;Mago.Net PRO Powered by MSDE;Si;;;;;;;;;;;;X;;;;;;X;;;;;;;X;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;
14796;MACGREGOR S.R.L.;5;11/05/2007;2.8.4.20070824;10;Mago.Net PRO Powered by MSDE;No;;;X;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;X;;;;;;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;
21661;MAD STUDIO SRL;2;10/04/2014;3.9.7.0077;1;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;
14949;MARGHERITA INFORMATICA SRL;20;14/12/2011;3.8.0.0194;4;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;X;;;X;;;;;;;X;X;;X;;;;;;;;;;;X;;;;;;;;;;;
6411;MARINA YACHTING SRL;13;09/05/2007;2.8.4.20070824;2;Mago.Net PRO Powered by MSDE;No;;;X;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20504;MASTERFIRE ANTINCENDIO;24;30/09/2014;3.9.9.0055;1;Mago.Net PRO Powered by MSDE;Si;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;X;X;;;;;;;;X;;;;;;;;;;;;;;X;;;;;;;X;;;;;
461;MAZZITELLI SRL;5;18/01/2013;3.9.0.0135;3;Mago.Net PRO All Database;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;X;;;;;;;;;;;;;;;;;;;;;
5988;ME.CA. SNC;9;29/09/2016;3.12.12.0035;2;Mago.Net PRO Powered by MSDE;Si;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;X;;;;;X;;;;;;;;;;;;;;;;;;;;;
17994;MEC.MAR SRL;1;15/10/2008;2.13.5.20100324;1;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;
1759;MEDISERVICE SRL;6;21/02/2014;3.14.5.0520;1;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;X;X;;;;;;;X;;;;X;;;;;;;;;D;;;;;;;;;;;;;;;;X;;;;;;;;;;;;
3538;MEREGA DI VACCARI GIANLUIGI;5;09/10/2006;2.4.2.20060929;1;Mago.Net PRO Powered by MSDE;No;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21432;MINDRAY MEDICAL ITALY S.R.L.;17;08/09/2015;3.12.7.0071;14;Mago.Net PRO All Database;Si;;;;X;;;;;;;;X;;;;X;;;;;X;;;;;;;;;;;;;X;;;;;;;;X;;;;;;;;;;;;;;;X;;;X;;;;;;
6230;MIRGAS SRL;13;02/05/2012;3.9.4.0039;2;Mago.Net PRO Powered by MSDE;No;;;X;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;D;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12269;MORELLO FORNI SAS;3;05/02/2009;2.12.0.20081230;3;Mago.Net PRO Powered by MSDE;No;X;;X;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;X;;;;X;;X;X;;;;;;;;;;;;;;;;;;;X;;;;;;
1573;MOSAICO S.R.L.;4;03/04/2006;2.12.2.20090401;1;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;;X;;;;;;;;;X;;;;;;;;;;;;;;;;X;;;;;;;;;;;;
9986;MUSANTE & LIOTTA S.N.C.;15;23/11/2011;3.14.4.0335;3;Mago.Net PRO All Database;No;X;X;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;
1432;NUOVA A.L.P.I.C.A. S.R.L;35;26/06/2017;3.14.0.0276;3;Mago.Net PRO Powered by MSDE;Si;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;X;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;
15307;NUOVA FAR SRL;12;22/01/2010;2.13.3.20090918;1;Mago.Net PRO Powered by MSDE;Si;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;
21074;O.P.E. FEDERICOLCESE PUBBLICITA' ESTERNA S.P.A.;1;20/07/2012;3.14.5.0520;2;Mago.Net PRO Powered by MSDE;No;;X;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22667;OFFICINE ATMA SRL;9;02/11/2017;3.14.0.0276;1;Mago.Net PRO Powered by MSDE;Si;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;
10105;OFFICINE RBA SNC;12;02/11/2017;3.14.0.0276;2;Mago.Net PRO Powered by MSDE;Si;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;D;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;
23702;OMNIASERVICE SRL;1;29/03/2016;3.11.4.0113;1;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;
21883;OPUS SRL PROPERTY MANAGEMENT;39;12/07/2018;3.14.4.0335;5;Mago.Net PRO Powered by MSDE;Si;;;;;;;;;;;;X;;;;;;;;;;X;;;;;;;;;;;;X;;;;;;;;X;;;;;;;;;;;;;;;X;;;;;;;;;
3298;PA.MA.B. FOOD INTERNATIONAL S.R.L.;15;29/12/2014;3.9.5.0025;1;Mago.Net PRO Powered by MSDE;No;;;X;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;D
4654;PARODI & PARODI SRL;134;12/09/2017;3.14.4.0335;14;Mago.Net PRO Powered by SQL Server;Si;X;;X;X;;;;;;;;X;;;;;;;;;X;;;;X;;;;;;;;;X;;X;X;X;;X;X;;X;;;;;;;;X;;;;;;;;X;;;;;;;X
24930;PATTONO SRL;1;16/02/2018;3.14.4.0335;1;Mago.Net PRO All Database;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;
9587;PERPULIRE SRL;607;26/06/2018;3.14.5.0520;49;Mago.Net PRO All Database;Si;;;;;;X;;;;;;X;;;;;;;X;;X;X;;;X;;;;;;;;;X;;;;D;;;;X;;;;;;;;;X;;;;;;X;;;;;X;X;X;;
8176;PESCE PIETRO SPA;26;06/11/2013;3.9.5;2;Mago.Net PRO Powered by MSDE;No;;;X;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20949;PF SERVIZI SRL;7;13/07/2015;3.12.2.0140;2;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;
10799;PLP PETROCHEMICAL AND MARINE SUPPLY SRL;24;17/04/2018;3.14.4.0335;4;Mago.Net PRO All Database;Si;X;X;;;;;;;;;;;;;;;;;;;;;;;D;;;;;;;;;X;;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;
15967;POZZOLO STICKERS SRL;3;09/06/2010;2.13.5.20100324;0;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;
2785;PRESTO ITALIA S.R.L.;33;28/02/2018;3.14.5.0520;3;Mago.Net PRO All Database;Si;;;;;;;;;;;;X;;;;;;;;;;;;;X;;;;X;;;;;;;;;;;X;X;;;;X;;;;;;;;;;X;;;;;;;;;;;
12690;PRIMOLI SRL;23;10/10/2016;3.14.4.0335;4;Mago.Net PRO All Database;Si;X;X;;;;;;;;;;;;;;;;;;;X;;;;X;;;;;;;;;X;;;;;;X;X;;;;;;;X;;;;;;;;;;;;;;;;;;
22380;PUNTO JOSE S.R.L.;2;16/06/2017;3.13.1.0018;1;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;
10104;QUARTIERE DEL SOLE;16;24/10/2017;3.14.0.0276;1;Mago.Net PRO Powered by MSDE;Si;;;X;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8056;RAFFAELE DANERI & FIGLIE SNC;18;23/05/2017;3.14.4.0335;1;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;D;;;;;;X;;;;;;;;;;;;;;;;;;;;;;
2708;RAO & SARTELLI SRL;16;01/03/2007;2.9.6.20080312;5;Mago.Net PRO Powered by MSDE;No;;;X;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;X
12632;RARIMPORT SRL;9;16/12/2013;3.11.3.0029;3;Mago.Net PRO Powered by MSDE;No;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;X;;D;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;
8482;RENATO GHEZZI SAS DI FABRIZIO GHEZZI & C.;8;04/09/2015;3.12.3.0289;1;Mago.Net PRO Powered by MSDE;No;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;D;X;;;;;;;;;;;;;;;;;;;;;;;;;
10370;RICAMIFICIO TECNOSAIL SRL;5;10/09/2012;3.14.5.0520;1;Mago.Net PRO Powered by MSDE;No;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;D;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5528;ROCHEM MARINE SRL;68;14/06/2017;3.14.0.0276;7;Mago.Net PRO Powered by SQL Server;Si;;;X;;;;;;;;;;;;;;;;;X;;;;;X;;;;;;;;;X;;X;;D;;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;
9364;ROMANO' SNC;29;28/07/2017;3.14.4.0335;2;Mago.Net PRO Powered by MSDE;Si;;;X;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;X;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;
9093;RONCA 1862 SRL;40;08/05/2018;3.14.4.0335;3;Mago.Net PRO All Database;Si;X;X;;;;X;;;;;;X;;;;;;;;X;;X;;;X;;;;;;;;;X;;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;
15772;S.A.F.T. SPA;25;25/01/2018;3.14.4.0335;6;Mago.Net PRO Powered by MSDE;Si;;;X;;;;;;;;;X;;;;;;;;X;X;;;;X;;;;;;;;;X;;;;X;;X;;X;;;;;;;;;;;;;;;;;;;;;;;;X
18314;S.C.S. S.R.L.;84;19/01/2012;3.5.7.0025;2;Mago.Net PRO All Database;No;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;X;;;;;;;;X;;;;;;;X;;D;;;;;;;
7476;S.L.I.MEC. S.R.L.;29;07/02/2018;3.14.4.0335;19;Mago.Net PRO Powered by SQL Server;Si;;;;;;;;;;;;X;;;;;;;;;X;;;X;X;;;;;;;;;X;;;;X;;;;;X;;;;X;X;X;X;;;;;;;;X;X;;;;;;;X
1441;SALDOMECCANICA S.A.S. DI DE LISI V. & C.;13;21/05/2018;3.14.4.0335;3;Mago.Net PRO Powered by MSDE;Si;;;X;;;;;;;;;X;;;;;;;;;;;;;X;;;;;;;;;;;;;X;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;
25424;SALDOMECCANICA SRL;3;30/11/2018;3.14.6.0665;3;Mago.Net PRO Powered by MSDE;Si;;X;;;;;;;;;;X;;;;;;;;;;;;;X;;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;
2231;SALPA S.R.L.;22;31/08/2017;3.14.4.0335;1;Mago.Net PRO Powered by MSDE;Si;;;X;;;;;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;X;;D;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;
14261;SAN GIORGIO EDITRICE SRL;9;19/03/2010;2.13.4.20100216;3;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;X;;;;;;;;;;;;;;;;;;;;;;
3405;SCASSO P. ANGELA & C. SNC;9;21/11/2014;3.12.15.0170;2;Mago.Net PRO Powered by MSDE;Si;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;
8774;SD DIAMANT SRL;11;26/09/2017;3.14.6.0665;2;Mago.Net PRO Powered by MSDE;Si;;;X;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;X;;;;X;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;
17303;SECURITY GROUP SRL;24;04/02/2011;3.2.4.42;4;Mago.Net PRO Powered by MSDE;Si;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;X;;;;;;;;;;;;;;;;;;;;;;
17106;"SEGHERIA ""B. RASO"" DI PIETRO RASO & C. S.N.C.";10;09/06/2017;3.14.0.0276;3;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;X;X;;;X;;;;;;;;;;;;;;;;;;;;;;
8954;SELT S.R.L.;50;05/06/2018;3.14.4.0335;11;Mago.Net PRO Powered by SQL Server;Si;;;;;;;;;;;;X;;;;;;;;;;;;;X;;;;;;;;;X;;;;D;;;;;X;;;;;;;;;;;;;;;X;;;;;;;;
21651;SERINT GROUP S.R.L.;2;28/03/2013;3.9.1.0020;1;Mago.Net PRO Powered by MSDE;No;X;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;X;;;;;;X;X;;;;X;;;;;;;;;;;;;;;;;;;;;
7192;SERTOR S.R.L.;10;18/11/2015;3.9.2.0086;1;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D;;;;;;X;;;;;;;;;;;D;;;;;;;;;;;
19148;SERVIZI AMBIENTALI S.P.A.;28;08/08/2018;3.14.5.0520;7;Mago.Net PRO All Database;Si;;;;;X;X;;;;;;X;;;;;;;;;;X;;;X;;;;;X;;;;X;;;;;;;;X;;;;;;;;;;;;;;;X;;;;;;;;;
12928;SI.GE.CO. SRL;22;15/11/2010;3.2.4.42;5;Mago.Net PRO Powered by SQL Server;No;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;X;;D;;;;;;;;;;;;;;;;;;;;X;;;;;;;X;
4361;SIBEL S.R.L.;13;22/02/2010;2.13.5.20100324;1;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;D;;;;X;;X;;;;;;;;;;;X;;;;;;;;;;;
2456;SIGE SRL SERVIZI INDUSTRIALI GENOVA;10;29/06/2018;3.14.4.0335;2;Mago.Net PRO Powered by SQL Server;No;;;X;;;;;;;;;X;;;;;;;;X;;;;;X;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
1705;SIMASS GROUP;12;26/09/2017;3.14.0.0276;3;Mago.Net PRO Powered by SQL Server;No;;;X;;;;;;;;;X;;;;;;;;X;;;;;X;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2372;SIMEL AUTOMAZIONI S.N.C. DI MORENO F. & CATTANEO G.;19;29/09/2017;3.14.0.0276;3;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;;D;;;X;;;;X;;;;D;;;;;;;;;D;;X;X;;;X;;;;;;;;;;;D;;;;;;;;;;;
21991;SINCO MEC KOLOR S.P.A.;4;28/10/2016;3.14.4.0335;4;Mago.Net PRO All Database;Si;;;;;;;;;;;;X;;;;;;;X;;X;X;;;X;;;;;;;;;X;;;;;;;;X;;;;;;;;;;;;;;;X;;;D;;;;;;
10783;SIRIOTEL SNC;7;23/12/2016;3.12.14.0176;2;Mago.Net PRO Powered by MSDE;No;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18656;SISTEMI SERVICE S.R.L.;63;28/02/2018;3.14.0.0276;5;Mago.Net PRO All Database;Si;;;;;;;;;;;;X;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;X;;;;;;;;;
2656;SKYLAB SRLS;124;05/11/2018;3.14.4.0335;3;Mago.Net PRO Powered by MSDE;Si;;X;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;X;;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;
19204;SOBRERO TRASPORTI;11;30/09/2016;3.12.12.0035;2;Mago.Net PRO Powered by MSDE;Si;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;X;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;
19510;SOCIETÀ AGRICOLA PODERI DEI BRICCHI ASTIGIANI S.N.C.;10;03/04/2018;3.14.6.0665;1;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;;;;X;;;;;D;;;;;;X;;;;;;;;;;;;;;X;;;;;;;;;;X;;;;;;;;;;;
1786;SOGEL SRL;3;05/04/2007;2.10.4.20080909;5;Mago.Net PRO Powered by SQL Server;No;;;X;;;;;;;;;;;;;;;;;X;D;;;;;;;;;;;;;;;D;;X;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;D
21739;STELLA S.P.A.;4;10/11/2015;3.12.3.0289;3;Mago.Net PRO Powered by MSDE;Si;;X;;;;;;;;;;X;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18254;STEN ART SRL;1;19/01/2009;2.12.0.20081230;3;Mago.Net PRO Powered by MSDE;No;;X;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6821;STEN ART STUDIO SAS;9;19/01/2009;2.12.0.20081230;2;Mago.Net PRO Powered by MSDE;No;;;X;;;;;;;;;X;;;;;;;;;;;;X;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17668;STUARTA IMMOBILIARE S.P.A.;1;08/05/2008;2.9.6.20080312;3;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;
21281;STUDIO MASSELLA & PARTNERS;1;20/11/2012;3.14.4.0335;7;Mago.Net PRO Powered by MSDE;No;;X;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20811;SUPERBA TLC SRL;4;04/04/2014;3.9.7.0049;2;Mago.Net PRO Powered by MSDE;No;;X;;;;;;;;;;X;;;;;;;;;;;;;X;;;;;;;;;X;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;
