Codice Utente;Ragione Sociale;Attivazione N.;Data Attivaz;Release;Numero C.A.L.;Descrizione prodotto;Ha personalizzazioni;ACQT;ADKF;ADPK;AUDT;BAII;BAPL;BARC;BICO;CASH;CFIN;CFUL;COAN;COMF;COMM;CONA;CONF;CONT;COPR;CRED;CSPT;DIST;EATT;EDU1;ELSR;FISC;IBCO;INPC;INSP;INTR;LIBR;LOTT;MAGA;MAIF;MAIL;MANM;MDOC;MDPS;MIGR;OPOR;ORCL;ORFO;OSLL;OSLS;PACK;PCKF;PRPA;PRZA;PRZB;PRZP;RAEE;SCHD;SCOM;SERD;SEVR;SFMG;SOSC;TRKF;TRPK;UBIC;VARI;VEDT;WMAA;WMAD;WMRF;XBRL;XGAT
7731;COFFEE CONSULT SRL;10;18/11/2011;3.6.1.0066;1;Mago.Net PRO Powered by MSDE;No;;;X;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17653;COMPAGNIA DI PONENTE SRL;1;30/04/2008;2.9.5.20080206;1;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;
23934;COMPARATO NELLO SRL;27;10/07/2017;3.14.4.0335;30;Mago.Net PRO All Database;Si;;;;X;;X;;;;;;X;;;;;;;X;;X;X;;;X;;;;;;;;;X;;;;;;;;;X;;;;X;X;;;X;;;;;;X;;;X;;;;;;
18056;CONDOR WIND ENERGY SRL;6;21/09/2016;3.12.12.0035;1;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;
18659;CONSORZIO FABER S.P.A.;2;28/08/2009;2.13.1.20090618;3;Mago.Net PRO Powered by MSDE;No;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17725;CONTSHIP ITALIA S.P.A.;5;30/11/2011;3.5.6.0235;1;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;
1921;COOPERARCI SCRL;50;11/05/2018;3.14.4.0335;11;Mago.Net PRO Powered by MSDE;Si;;;;;;;;;;;;X;;;;;;X;;X;;X;;;X;;;;;;;;;X;;;;D;;;;;;X;;;;;;;;;;;X;;;;;;;;;;X;
1424;COOPERATIVA SOCIALE GENOVA INTEGRAZIONE A.M. ANFFAS ONLUS;24;30/01/2017;3.14.4.0335;5;Mago.Net PRO Powered by MSDE;Si;;;X;;;X;;;;;;X;;;;;;;;X;;;;;X;;;;;;;;;X;;X;;D;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18077;COSTANZA LIGURE METALLI SPA;14;15/11/2016;3.12.9.0007;1;Mago.Net PRO Powered by MSDE;No;D;X;;;;;;;;;;D;;;;;;;;D;;;;;X;;;;;;;;;D;;;;;;D;D;;;;;;;;;;;;;;;;;;;;;;;;;
18071;CPL S.A.S DI RATTO FRANCO;59;09/10/2017;3.14.4.0335;6;Mago.Net PRO All Database;Si;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;X;;;X;;;;;;X;;X;;;X;;;;;;X;;;;;;;;;;;;;;;
